"학교명","설립별","지역별","교외장학금 소계(원)","교외장학금 국가","교외장학금 지방자치단체","교외장학금 사설및기타","교내장학금 소계(원)","교내장학금 성적우수장학금","교내장학금 저소득층장학금","교내장학금 근로장학금","교내장학금 재난장학금","교내장학금 교직원장학금","교내장학금 기타장학금","총계(원)"
"국민대학교","사립","서울","35012849298","32222895918","568318910","2221634470","18938452542","4916183000","4442181000","1640862192","0","56792000","7882434350","53951301840"
"국제대학교","사립","경기","7464124207","7395534307","5967300","62622600","2367109113","341153500","496247500","150588563","0","41047000","1338072550","9831233320"
"국제사이버대학교","사립","경기","5679553000","5679553000","0","0","1502307000","208236000","480051000","0","0","182700000","631320000","7181860000"
"군산간호대학교","사립","전북","2903929504","2881429504","0","22500000","850000000","169808334","325066665","23065001","1260000","0","330800000","3753929504"
"군산대학교","국공립","전북","14132583285","13692220085","212769000","227594200","3990468950","1940799800","748778100","234849130","6642000","0","1059399920","18123052235"
"군장대학교","사립","전북","5157720621","5102820621","7600000","47300000","1311873122","73012500","52000000","16774872","0","26025000","1144060750","6469593743"
"극동대학교","사립","충북","8094487921","8034680921","7000000","52807000","3701262904","1073316100","996663400","315941204","0","49085200","1266257000","11795750825"
"글로벌사이버대학교","사립","충남","3394367008","3372376008","0","21991000","1021195252","7035000","11088000","6697252","0","13755000","982620000","4415562260"
"금강대학교","사립","충남","528370590","522688590","0","5682000","1079259338","789006000","0","43267960","0","0","246985378","1607629928"
"금오공과대학교","국공립","경북","12336499133","11830888803","24499980","481110350","2804535822","1049612020","704169270","342959722","176820","0","707617990","15141034955"
"기독간호대학교","사립","광주","1594921051","1579967923","0","14953128","372149471","142123000","122844763","11886862","0","0","95294846","1967070522"
"김천대학교","사립","경북","6514371373","6386279578","776880","127314915","4587553259","641582001","231056500","113706249","0","42768000","3558440509","11101924632"
"김포대학교","사립","경기","5723028548","5591284048","5100600","126643900","1654433662","192035500","500872600","26783862","0","15630000","919111700","7377462210"
"김해대학교","사립","경남","5377444986","5279854566","10590420","87000000","1230564624","262390000","4620000","120447624","0","1100000","842007000","6608009610"
"나사렛대학교","사립","충남","15335906892","15158856292","11100600","165950000","6025275598","2775402000","1500683360","306566188","0","49567000","1393057050","21361182490"
"남부대학교","사립","광주","7827415736","7756804486","2500000","68111250","3485499264","556758000","471298900","51603464","0","3971000","2401867900","11312915000"
"남서울대학교","사립","충남","23309010848","22989838618","59306130","259866100","13339958184","4410669150","5683587020","219971264","0","126957000","2898773750","36648969032"
"농협대학교","사립","경기","668999778","646427218","5128560","17444000","386412142","156032000","96738000","10606142","0","0","123036000","1055411920"
"단국대학교","사립","경기","49151842357","47759877507","155146740","1236818110","26101845792","2154722484","7065479427","503333458","0","264523000","16113787423","75253688149"
"대경대학교","사립","경북","11867333833","11821766253","13256680","32310900","5082280796","229920330","0","115594396","0","39237600","4697528470","16949614629"
"대구가톨릭대학교","사립","경북","33116088180","32729308250","53216930","333563000","12666328235","3456575925","529828300","1247607470","20600000","521090800","6890625740","45782416415"
"대구경북과학기술원","국공립","대구","147389610","147389610","0","0","1897796890","7030000","61200000","76081390","0","0","1753485500","2045186500"
"대구공업대학교","사립","대구","3814876408","3800376408","0","14500000","1929890642","108754000","1450000","88529512","0","25195000","1705962130","5744767050"
"대구과학대학교","사립","대구","15178092488","15123440328","3092160","51560000","4611547354","772252860","20572172","315365002","0","15366660","3487990660","19789639842"
"대구교육대학교","국공립","대구","2243574297","2117137297","21564000","104873000","1045701318","265166000","313427200","223001118","0","0","244107000","3289275615"
"대구대학교","사립","경북","51902509983","49768120575","511149710","1623239698","15110874833","8352595070","1754670500","1213819734","61346700","164051400","3564391429","67013384816"
"대구보건대학교","사립","대구","21221131590","21092021470","20110120","109000000","5012991816","1111976500","79002000","1107207316","0","53335800","2661470200","26234123406"
"대구사이버대학교","사립","경북","5350416000","5346816000","0","3600000","1119131948","112266000","12390000","13534448","0","8330000","972611500","6469547948"
"대구예술대학교","사립","경북","1618460544","1603721984","1438560","13300000","715277243","115351000","171723667","84508236","0","0","343694340","2333737787"
"대구한의대학교","사립","경북","19177284198","18535035438","245787380","396461380","7069184022","1215400760","423990480","560465602","27853200","57587000","4783886980","26246468220"
"대덕대학교","사립","대전","6023755339","5996348159","1827180","25580000","2438960566","321216870","610858810","75723916","0","28878400","1402282570","8462715905"
"대동대학교","사립","부산","4107708608","4032616508","15851840","59240260","1172106736","484396000","161331400","32426136","0","0","493953200","5279815344"
"대림대학교","사립","경기","19282613927","18929833227","6825200","345955500","6906021682","2327019600","1798064010","713132562","0","315799000","1752006510","26188635609"
"대신대학교","사립","경북","1979553360","1959473360","0","20080000","419621110","0","92540000","35319610","0","0","291761500","2399174470"
"대원대학교","사립","충북","6679249718","6276260138","369943280","33046300","1413463092","318656000","365526410","55929642","0","20657000","652694040","8092712810"
"대전가톨릭대학교","사립","세종","64265000","62265000","0","2000000","70240000","0","67240000","3000000","0","0","0","134505000"
"대전과학기술대학교","사립","대전","11361304850","11276085370","9622480","75597000","3256178620","297441670","448052000","71657020","0","13313000","2425714930","14617483470"
"대전대학교","사립","대전","21156354616","20898675836","10212480","247466300","11070452391","2510317000","2767701000","852402198","0","27589000","4912443193","32226807007"
"대전보건대학교","사립","대전","13556583335","13461342895","9971940","85268500","3515606985","1097498150","709062770","635363900","0","32018000","1041664165","17072190320"
"대전신학대학교","사립","대전","273974121","262337121","0","11637000","35716024","16055000","1200000","4072024","0","0","14389000","309690145"
"대진대학교","사립","경기","19797542227","19669788827","56316400","71437000","9389011917","1386752000","3133971500","305396388","0","92578000","4470314029","29186554144"
"덕성여자대학교","사립","서울","10608838666","10134349941","105177065","369311660","5606760892","2500782110","1194581676","240457212","0","0","1670939894","16215599558"
"동강대학교","사립","광주","7390930802","7370058802","6000000","14872000","1867049878","81890000","35351000","32924378","0","12454000","1704430500","9257980680"
"동국대학교","사립","서울","27720200335","25534470615","119155360","2066574360","17531147662","4074305500","3540442300","2297174270","1000000","81157000","7537068592","45251347997"
"동국대학교(WISE)","사립","경북","18255881677","17701706377","222137000","332038300","8943626485","2264772000","1657365530","363643155","38166000","98373000","4521306800","27199508162"
"동남보건대학교","사립","경기","11413938123","11298771149","16134800","99032174","4083760492","1575687200","1139510200","432976692","0","31127400","904459000","15497698615"
"동덕여자대학교","사립","서울","14413033417","14024615027","85686660","302731730","8679020362","3917242762","2415621160","680848730","0","13568000","1651739710","23092053779"
"동명대학교","사립","부산","22361060892","22081794022","96092670","183174200","7803793278","1464159560","520448410","314466978","0","118455510","5386262820","30164854170"
"동서대학교","사립","부산","27340861053","27081831693","67729360","191300000","9175989377","3435675150","2096736070","530242382","40225300","74549000","2998561475","36516850430"
"동서울대학교","사립","경기","14981941683","14739835283","5816400","236290000","4981305122","1278689000","1308020000","686118122","0","10280000","1698198000","19963246805"
"동신대학교","사립","전남","19002912708","18594192708","111900000","296820000","6842633582","236620670","410694090","322254112","20073000","140959500","5712032210","25845546290"
"동아대학교","사립","부산","48541449128","47365966523","211647005","963835600","18034648271","7563398680","6909115705","1013198079","0","210613400","2338322407","66576097399"
"동아방송예술대학교","사립","경기","9245441825","9097826425","66665400","80950000","2576829470","875972400","1006440960","102753510","0","23878400","567784200","11822271295"
"동아보건대학교","사립","전남","4157915729","4100876809","3638920","53400000","683507441","45333750","600000","11043868","0","17485000","609044823","4841423170"
"동양대학교","사립","경북","10515004185","9819289885","219588300","476126000","3848811721","898328800","609241250","117202760","0","16070000","2207968911","14363815906"
"동양미래대학교","사립","서울","16945531088","16658966688","97644400","188920000","5840000000","1302285250","1302971770","1548946072","0","91267000","1594529908","22785531088"
"동원과학기술대학교","사립","경남","7584779931","7290640931","97000000","197139000","1752202470","140987350","386367000","73424520","0","26450000","1124973600","9336982401"
"동원대학교","사립","경기","8835393744","8790874444","4463300","40056000","2478417570","297943500","0","132360636","11174900","179587100","1857351434","11313811314"
"동의과학대학교","사립","부산","14292621638","14171710110","44719280","76192248","3018876910","434428650","10679400","88866090","0","9735000","2475167770","17311498548"
"동의대학교","사립","부산","39120363530","38729024330","106533400","284805800","15685519166","5504416160","5407722440","1189144020","0","173998000","3410238546","54805882696"
"부산보건대학교","사립","부산","7717119255","7684879255","2700000","29540000","2106409316","628142600","35267000","72802236","0","44144000","1326053480","9823528571"
"두원공과대학교","사립","경기","6329856679","6206699879","8300000","114856800","1730128634","377733700","0","109298834","0","33145200","1209950900","8059985313"
"디지털서울문화예술대학교","사립","서울","4706259673","4703443673","2816000","0","1188511604","72623400","119548333","35548582","0","2833200","957958089","5894771277"
"루터대학교","사립","경기","1021723012","1019223012","0","2500000","309835838","21105000","82670000","31334028","0","0","174726810","1331558850"
"마산대학교","사립","경남","15301772570","15093591930","18952640","189228000","4627706330","991456660","582073320","382494000","0","38620000","2633062350","19929478900"
"명지대학교","사립","경기","29752355210","29252760810","139240400","360354000","16416628532","2904103500","3764739050","920188802","0","130379000","8697218180","46168983742"
"명지전문대학","사립","서울","20211668254","19979269144","116446560","115952550","5296145001","505327600","1801861090","914565676","0","210202570","1864188065","25507813255"
"목원대학교","사립","대전","19659471966","19488083046","52911920","118477000","9010146367","1826163160","2512197400","527511034","450409470","131892000","3561973303","28669618333"
"목포가톨릭대학교","사립","전남","1948094900","1784424900","0","163670000","490476070","395273320","35211000","4947950","0","0","55043800","2438570970"
"목포과학대학교","사립","전남","9253701818","8929066818","0","324635000","1444877760","95479500","13086750","236159670","0","101888500","998263340","10698579578"
"목포대학교","국공립","전남","18468414712","17548929010","467713280","451772422","3620431690","1428669970","707896980","718855040","0","0","765009700","22088846402"
"목포해양대학교","국공립","전남","4858630630","4431159850","37798780","389672000","1371295800","733264000","75976000","137059990","0","0","424995810","6229926430"
"문경대학교","사립","경북","3168334002","3060761522","85722480","21850000","655494908","144218000","374653200","31745408","0","6032000","98846300","3823828910"
"배재대학교","사립","대전","18942281939","18810956459","37040800","94284680","9048567166","1263794580","3309838420","514449396","455000","115364840","3844664930","27990849105"
"배화여자대학교","사립","서울","7138013165","7048089865","1050300","88873000","1835249484","763596000","492942840","100828050","0","5628000","472254594","8973262649"
"백석대학교","사립","충남","29914444514","29654832334","12531280","247080900","12251084426","4165567000","3803955000","258749806","0","188698000","3834114620","42165528940"
"백석문화대학교","사립","충남","12160272633","12050397633","10100000","99775000","3679987022","608359500","850348500","159638992","0","145648500","1915991530","15840259655"
"백제예술대학교","사립","전북","2957313233","2953313233","0","4000000","806626300","278398800","309002000","43050000","0","0","176175500","3763939533"
"부경대학교","국공립","부산","33036880946","31529438625","107467410","1399974911","9876814900","3183755660","2458923660","1776576100","0","0","2457559480","42913695846"
"부산가톨릭대학교","사립","부산","13070428644","12906880524","36793120","126755000","4093770068","1130582334","964956000","359324734","0","24383000","1614524000","17164198712"
"부산경상대학교","사립","부산","11431399343","11398026503","7562840","25810000","3086968002","66251850","2247200","151020052","3964900","37864000","2825620000","14518367345"
"부산과학기술대학교","사립","부산","9660556060","9512471180","27484880","120600000","3043065686","507964000","14335000","67163886","0","32086000","2421516800","12703621746"
"부산교육대학교","국공립","부산","2442918543","2104805143","184335400","153778000","908698152","421848000","108414000","172801152","0","0","205635000","3351616695"
"부산대학교","국공립","부산","39459690937","36080650047","1008221310","2370819580","15836550728","6035027000","5985937820","1603041028","0","0","2212544880","55296241665"
"부산디지털대학교","사립","부산","4130635798","4120097238","0","10538560","624940303","34328000","27072500","3135468","0","0","560404335","4755576101"
"부산여자대학교","사립","부산","6856748543","6782479263","2214880","72054400","1787917448","189312600","390567200","179538128","0","12476000","1016023520","8644665991"
"부산예술대학교","사립","부산","2105642436","2081163436","0","24479000","598521032","54820000","13250000","20732582","0","0","509718450","2704163468"
"부산외국어대학교","사립","부산","14944406733","14715901853","33178880","195326000","6654947077","1043986000","1331652600","841941110","239000","65508000","3371620367","21599353810"
"부산장신대학교","사립","경남","661210761","625810761","0","35400000","147436234","38147000","270000","15362234","0","13552000","80105000","808646995"
"부천대학교","사립","경기","23850373166","23755129356","10819880","84423930","7411253006","1689348380","2246468280","680751606","0","55355300","2739329440","31261626172"
"사이버한국외국어대학교","사립","서울","6703794000","6680658000","3770000","19366000","2156550333","153310000","63412000","0","0","16440000","1923388333","8860344333"
"삼육대학교","사립","서울","14192238046","13489174356","270258065","432805625","7443200938","1239860150","1979385720","1396958708","25009000","228116900","2573870460","21635438984"
"삼육보건대학교","사립","서울","3018343475","2978323575","3966400","36053500","1178565940","359470900","247580600","183282540","0","8607000","379624900","4196909415"
"상명대학교","사립","서울","26823021607","26388785807","79254780","354981020","16642887012","6437066033","5102719972","1240634797","0","115576000","3746890210","43465908619"
"상지대학교","사립","강원","13674233382","12914879512","353868220","405485650","6417794354","868770100","1292623900","115018408","0","176700200","3964681746","20092027736"
"상지영서대학교","사립","강원","87412000","81652000","1760000","4000000","22709000","1400000","0","0","0","0","21309000","110121000"
"서강대학교","사립","서울","13219095853","10785411833","123255220","2310428800","8907083205","766461000","5083403570","1853849029","0","28683000","1174686606","22126179058"
"서경대학교","사립","서울","13704604811","13599330651","25370160","79904000","8614214277","1812351133","3500610920","883396012","0","1350000","2416506212","22318819088"
"서라벌대학교","사립","경북","1670781620","1640081620","0","30700000","502513950","87257000","44616500","22873950","0","0","347766500","2173295570"
"서영대학교","사립","광주","16009175435","15948845435","1500000","58830000","2902152789","505346000","28175334","118524480","0","16680000","2233426975","18911328224"
"서울과학기술대학교","국공립","서울","19893328013","19160438296","117293480","615596237","11254950094","2260015210","1861333510","1720973354","0","0","5412628020","31148278107"
"서울교육대학교","국공립","서울","1896570438","1687264438","51747000","157559000","810055764","243925000","127054000","148313834","0","0","290762930","2706626202"
"서울기독대학교","사립","서울","1068083443","960595083","2795400","104692960","305331574","119230000","98176400","50070874","0","0","37854300","1373415017"
"서울대학교","국공립","서울","33037513364","20689997926","138823100","12208692338","17459989964","105740000","4497567100","4026109794","0","0","8830573070","50497503328"
"서울디지털대학교","사립","서울","11439624750","11436377350","3247400","0","4892458050","675184800","90555300","0","0","54936000","4071781950","16332082800"
"서울사이버대학교","사립","서울","18884591400","18849751920","17999880","16839600","8980525766","762324750","99072200","0","0","12636000","8106492816","27865117166"
"서울시립대학교","국공립","서울","12196130495","11018724555","34237370","1143168570","5653568986","1278337800","1187233750","2005203450","0","0","1182793986","17849699481"
"서울신학대학교","사립","경기","8046682682","7906749582","2600600","137332500","2460277848","308738700","1242515570","248996818","0","13014000","647012760","10506960530"
"서울여자간호대학교","사립","서울","1692169824","1654401424","35000000","2768400","907526960","296322000","220365000","51636760","0","0","339203200","2599696784"
"서울여자대학교","사립","서울","16314133235","15610111835","160214780","543806620","8300570784","1742762950","4432104500","584592485","0","39666000","1501444849","24614704019"
"서울예술대학교","사립","경기","8063213888","7795343888","87060000","180810000","3692655812","997726000","1244231500","680182912","0","0","770515400","11755869700"
"서울장신대학교","사립","경기","1369231937","1338301937","0","30930000","573462784","113673832","114044000","83155052","0","13820000","248769900","1942694721"
"서울한영대학교","사립","서울","2144890360","2097637560","6444500","40808300","513647010","101229640","140143600","73420530","0","4925700","193927540","2658537370"
"서원대학교","사립","충북","18265548802","17719178442","237220260","309150100","7599030991","1568859200","742242293","1011904788","0","75333000","4200691710","25864579793"
"서일대학교","사립","서울","15500938627","15373378397","10816400","116743830","5082688723","1828047970","2071836320","405325813","500000","20129000","756849620","20583627350"
"서정대학교","사립","경기","18876630777","18826319277","18515500","31796000","7924185732","246838600","31751000","535629363","0","38166250","7071800519","26800816509"
"선린대학교","사립","경북","6240658103","6186658103","0","54000000","1514271888","307558800","336891800","75957988","0","25006000","768857300","7754929991"
"선문대학교","사립","충남","26535724747","24098603212","108151920","2328969615","12442097281","1464533500","3027733460","596747612","0","229329000","7123753709","38977822028"
"성결대학교","사립","경기","12027697477","11908906277","34661200","84130000","6007798505","2587805118","553635100","655605334","3000000","32853000","2174899953","18035495982"
"성공회대학교","사립","서울","5626357132","5538534102","59604280","28218750","2254269138","571358350","1046203090","96458738","0","16747600","523501360","7880626270"
